0:0:0:0:0:0:0:1 - - [31/May/2022:09:52:17 +0900] "GET /LectureWeb/jquery/image/images.jpg HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [31/May/2022:09:52:17 +0900] "GET /LectureWeb/jquery/exam06.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2022:09:52:17 +0900] "GET /LectureWeb/jquery/image/images.jpg HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [31/May/2022:09:52:17 +0900] "GET /LectureWeb/jquery/exam06.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2022:09:52:17 +0900] "GET /LectureWeb/jquery/image/images.jpg HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [31/May/2022:09:52:18 +0900] "GET /LectureWeb/jquery/exam06.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2022:09:52:18 +0900] "GET /LectureWeb/jquery/image/images.jpg HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [31/May/2022:09:52:18 +0900] "GET /LectureWeb/jquery/exam06.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2022:09:52:18 +0900] "GET /LectureWeb/jquery/image/images.jpg HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [31/May/2022:09:52:42 +0900] "GET /LectureWeb/jquery/exam06.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2022:09:52:42 +0900] "GET /LectureWeb/jquery/image/images.jpg HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [31/May/2022:09:52:42 +0900] "GET /LectureWeb/jquery/exam06.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2022:09:52:42 +0900] "GET /LectureWeb/jquery/image/images.jpg HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [31/May/2022:09:52:42 +0900] "GET /LectureWeb/jquery/exam06.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2022:09:52:42 +0900] "GET /LectureWeb/jquery/image/images.jpg HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [31/May/2022:09:54:43 +0900] "GET /LectureWeb/jquery/exam06.html HTTP/1.1" 200 1161
0:0:0:0:0:0:0:1 - - [31/May/2022:09:54:43 +0900] "GET /LectureWeb/jquery/image/images.jpg HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [31/May/2022:09:54:43 +0900] "GET /LectureWeb/jquery/exam06.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2022:09:54:43 +0900] "GET /LectureWeb/jquery/image/images.jpg HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [31/May/2022:09:54:43 +0900] "GET /LectureWeb/jquery/exam06.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2022:09:54:43 +0900] "GET /LectureWeb/jquery/image/images.jpg HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [31/May/2022:09:54:43 +0900] "GET /LectureWeb/jquery/exam06.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2022:09:54:43 +0900] "GET /LectureWeb/jquery/image/images.jpg HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [31/May/2022:09:58:20 +0900] "GET /LectureWeb/jquery/exam06.html HTTP/1.1" 200 1417
0:0:0:0:0:0:0:1 - - [31/May/2022:09:58:20 +0900] "GET /LectureWeb/jquery/image/images.jpg HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [31/May/2022:09:58:20 +0900] "GET /LectureWeb/jquery/image/images.jpg HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [31/May/2022:10:00:05 +0900] "GET /LectureWeb/jquery/exam06.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2022:10:00:05 +0900] "GET /LectureWeb/jquery/image/images.jpg HTTP/1.1" 404 853
